,year,site,plot,ksat_1,ksat_2,ksat_3,ksat_4,ksat_5,ksat_avg,site_type,land_use
204,2021,47,144,29.61853534,131.8262786,62.67150951,NA,NA,74.70544115,Community Garden/Urban Farm,Garden_food_producing_in_ground
205,2021,47,145,NA,NA,NA,NA,NA,NA,Community Garden/Urban Farm,Garden_food_producing_in_ground
206,2021,47,146,3.590125496,2.154075298,1.29020135,NA,NA,2.344800715,Community Garden/Urban Farm,Garden_food_producing_in_ground
207,2021,47,147,31.48246137,14.7526429,20.17014099,NA,NA,22.13508175,Community Garden/Urban Farm,Garden_food_producing_in_ground
208,2021,47,148,11.88597594,18.39579806,11.88597594,NA,NA,14.05591665,Community Garden/Urban Farm,Garden_food_producing_in_ground
209,2021,47,149,18.16295848,13.57627493,21.38019214,NA,NA,17.70647518,Community Garden/Urban Farm,Garden_food_producing_in_ground
210,2021,48,150,50.01785499,113.0132572,8.321908647,NA,NA,57.11767361,Community Garden/Urban Farm,Garden_food_producing_in_ground
211,2021,48,151,12.60883126,8.223150823,12.11667355,NA,NA,10.98288521,Community Garden/Urban Farm,Garden_food_producing_in_ground
212,2021,48,152,6.988094003,11.64682334,7.31918011,NA,NA,8.651365818,Community Garden/Urban Farm,Garden_food_producing_in_ground
213,2021,49,153,12.60633812,10.89777509,18.72941664,NA,NA,14.07784328,Community Garden/Urban Farm,Garden_food_producing_in_ground
214,2021,49,154,1.240986377,1.42350063,2.847001261,NA,NA,1.837162756,Community Garden/Urban Farm,Garden_food_producing_in_ground
215,2021,49,155,4.357276783,9.758906814,8.118350895,NA,NA,7.411511497,Community Garden/Urban Farm,Garden_food_producing_in_ground
216,2021,50,156,4.141092743,3.241629802,13.46297061,NA,NA,6.948564385,Community Garden/Urban Farm,Garden_food_producing_in_ground
217,2021,50,157,23.05158971,11.82587018,9.835095264,NA,NA,14.90418505,Community Garden/Urban Farm,Garden_food_producing_in_ground
218,2021,50,158,1.167987179,0.690182124,3.752865298,NA,NA,1.870344867,Community Garden/Urban Farm,Garden_food_producing_in_ground
219,2021,51,159,8.526548053,68.32457585,84.81671484,NA,NA,53.88927958,Community Garden/Urban Farm,Garden_food_producing_in_ground
220,2021,51,160,19.97925433,27.01358169,15.76782691,NA,NA,20.92022098,Community Garden/Urban Farm,Garden_food_producing_in_ground
221,2021,51,161,39.47112395,29.60334296,18.39939317,NA,NA,29.15795336,Community Garden/Urban Farm,Garden_food_producing_in_ground
222,2021,52,162,127.8834227,22.70369811,30.25521149,NA,NA,60.28077743,Community Garden/Urban Farm,Garden_food_producing_in_ground
223,2021,52,163,5.385188244,6.659751444,9.197899031,NA,NA,7.08094624,Community Garden/Urban Farm,Garden_food_producing_in_ground
